RunNumber;RunTime;WalkingSpeed;OrgLuggageCount;StartingDoorID;StepsTaken
3;17297;1;2;1;73
3;17297;1;0;0;69
3;17297;1;3;1;75
3;17297;1;0;0;75
3;17297;1;2;0;75
3;17297;1;3;1;77
3;17297;1;1;1;80
3;17297;1;1;0;76
3;17297;1;2;1;83
3;17297;1;3;0;81
3;17297;1;1;0;77
3;17297;1;2;0;81
3;17297;1;1;0;81
3;17297;1;0;1;85
3;17297;1;3;0;85
3;17297;1;0;0;82
3;17297;1;2;1;89
3;17297;1;3;0;91
3;17297;1;0;0;89
3;17297;1;1;1;93
3;17297;1;2;0;87
3;17297;1;1;1;92
3;17297;1;2;0;89
3;17297;1;3;0;101
3;17297;1;0;1;95
3;17297;1;2;1;92
3;17297;1;0;1;100
3;17297;1;0;1;95
3;17297;1;1;0;105
3;17297;1;0;1;97
3;17297;1;1;1;106
3;17297;1;3;1;101
3;17297;1;2;1;106
3;17297;1;0;0;104
3;17297;1;0;0;110
3;17297;1;1;0;112
3;17297;1;0;0;102
3;17297;1;1;1;110
3;17297;1;1;0;109
3;17297;1;1;1;110
3;17297;1;3;0;105
3;17297;1;2;1;109
3;17297;1;0;0;118
3;17297;1;0;0;110
3;17297;1;0;1;117
3;17297;1;3;1;117
3;17297;1;2;0;122
3;17297;1;3;0;122
3;17297;1;3;1;123
3;17297;1;0;1;126
3;17297;1;1;0;118
3;17297;1;2;0;128
3;17297;1;2;1;125
3;17297;1;1;0;129
3;17297;1;1;0;128
3;17297;1;1;1;130
3;17297;1;0;1;129
3;17297;1;0;0;133
3;17297;1;1;0;135
3;17297;1;3;0;135
3;17297;1;2;1;143
3;17297;1;0;1;147
3;17297;1;0;1;144
3;17297;1;3;1;146
3;17297;1;2;1;140
3;17297;1;3;1;139
3;17297;1;2;1;142
3;17297;1;3;0;143
3;17297;1;0;0;133
3;17297;1;2;0;140
3;17297;1;1;1;147
3;17297;1;3;1;147
3;17297;1;0;0;140
3;17297;1;0;1;155
3;17297;1;2;1;140
3;17297;1;2;0;145
3;17297;1;2;1;154
3;17297;1;0;1;152
3;17297;1;1;1;160
3;17297;1;1;1;150
3;17297;1;0;0;155
3;17297;1;1;1;147
3;17297;1;1;1;164
4;14412;1;0;1;15
4;14412;1;0;0;17
4;14412;1;2;1;13
4;14412;1;3;0;19
4;14412;1;3;1;18
4;14412;1;1;0;18
4;14412;1;2;0;23
4;14412;1;2;1;19
4;14412;1;2;1;17
4;14412;1;1;0;12
4;14412;1;2;0;25
4;14412;1;0;0;24
4;14412;1;2;1;24
4;14412;1;1;1;25
4;14412;1;0;0;29
4;14412;1;3;1;27
4;14412;1;2;0;29
4;14412;1;0;0;32
4;14412;1;2;1;27
4;14412;1;2;0;33
4;14412;1;3;0;36
4;14412;1;1;1;31
4;14412;1;2;1;33
4;14412;1;3;0;36
4;14412;1;1;0;34
4;14412;1;1;1;28
4;14412;1;1;1;36
4;14412;1;2;1;36
4;14412;1;3;1;37
4;14412;1;0;1;38
4;14412;1;1;1;39
4;14412;1;3;0;39
4;14412;1;1;0;49
4;14412;1;3;1;40
4;14412;1;1;0;45
4;14412;1;3;1;44
4;14412;1;2;0;46
4;14412;1;2;1;42
4;14412;1;2;1;49
4;14412;1;1;1;47
4;14412;1;3;1;43
4;14412;1;1;0;47
4;14412;1;2;0;57
4;14412;1;0;0;50
4;14412;1;2;0;57
4;14412;1;0;1;54
4;14412;1;3;1;56
4;14412;1;3;0;60
4;14412;1;2;1;56
